file_chunk,chunk_text,question,answer
1,[Semantic Chunk 1],nan,nan
2,재해개요,nan,nan
3,‘2024.01.00(수) 용인시소재0000에서화,nan,nan
4,물자동차수직리프트로현금인출기하역,nan,nan
5,작업을하던중재해자가깔려1명이사,nan,nan
6,망함,nan,nan
7,발생원인,nan,nan
8,►깔림원인,nan,nan
9,- (출입금지조치) 현금인출기낙하또는전도에의해근로자가위험구역에출입금지조치미실시,nan,nan
10,- (전도방지조치) 현금인출기가넘어지지않도록전도방지조치미실시,nan,nan
11,- (부적합한하역운반기계) 리프트의리프팅능력을초과하는중량물취급작업실시,nan,nan
12,예방대책,nan,nan
13,1,nan,nan
14,근로자출입금지조치실시,nan,nan
15,-,nan,nan
16,하역중인화물의전도또는낙하등의위험으로근로자가위험해질우려가있는장소에근로,nan,nan
17,자출입금지조치실시,nan,nan
18,전도방지조치확인철저,nan,nan
19,2,nan,nan
20,- 리프트하역작업중제품등이넘어지지않도록전도방지조치실시및확인,nan,nan
21,적합한하역운반기계사용,nan,nan
22,3,nan,nan
23,- 리프팅능력을초과하는중량물취급작업시적합한하역운반기계사용하여작업실시,nan,nan
24,※ 본OPS는동종재해예방을목적으로안전보건공단에서제작하여제공하는것으로일부내용이재해발생상황과다를수도있음을알려드립니다,nan,nan
25,리프트하역작업중깔림,nan,nan
26,차량계하역운반기계작업시작업계획서작성,nan,nan
27,4,nan,nan
28,- 차량계하역운반기계작업시작업계획서작성후작업실시,nan,nan
29,- 중량물을포함하는작업시‘중량물취급작업‘ 내용을포함하여작업계획서작성,nan,nan
30,,nan,nan
